"Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1.6,1.3,1.1,0.9,0.9,0.9,0.9,0.9,0.8,0.6,0.8,0.8
1,1.1,1.2,1.3,1.5,1.6,1.8,2,2,2.1,2.2,2.2
2.3,2.2,2.3,2.3,2.3,2.2,2.1,1.9,2,2,1.9,1.9
1.9,2,1.9,1.7,1.7,1.6,1.7,1.8,1.7,1.7,1.7,1.7
1.6,1.6,1.7,1.8,2,1.9,1.9,1.7,1.7,1.8,1.7,1.6
1.6,1.7,1.8,1.8,1.7,1.8,1.8,1.8,1.9,1.9,2,2.1
2.2,2.3,2.2,2.1,2.2,2.2,2.2,2.3,2.2,2.1,2.1,2.2
2.3,2.2,2,1.9,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.8
1.8,1.8,2.1,2.1,2.2,2.3,2.4,2.2,2.2,2.1,2.2,2.2
2.2,2.1,2,2.1,2,2.1,2.2,2.4,2.4,2.3,2.3,2.3
2.3,2.4,2.1,1.4,1.2,1.2,1.6,1.7,1.7,1.6,1.6,1.6
1.4,1.3,1.6,3,3.8,4.5,4.3,4,4,4.6,4.9,5.5
6,6.4,6.5,6.2,6,5.9,5.9,6.3,6.6,6.3,6,5.7
5.6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
