"Date","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","dn","mavg","up"
2018-01-02,86.129997,86.309998,85.5,85.949997,22483800,80.738152,NA,NA,NA
2018-01-03,86.059998,86.510002,85.970001,86.349998,26061400,81.113922,NA,NA,NA
2018-01-04,86.589996,87.660004,86.57,87.110001,21912000,81.82782,NA,NA,NA
2018-01-05,87.660004,88.410004,87.43,88.190002,23407100,82.842346,NA,NA,NA
2018-01-08,88.199997,88.580002,87.599998,88.279999,22113000,82.926888,NA,NA,NA
2018-01-09,88.650002,88.730003,87.860001,88.220001,19484300,82.870522,NA,NA,NA
2018-01-10,87.860001,88.190002,87.410004,87.82,18652200,82.494766,NA,NA,NA
2018-01-11,88.129997,88.129997,87.239998,88.080002,17808900,82.739021,NA,NA,NA
2018-01-12,88.669998,89.779999,88.449997,89.599998,24271500,84.166847,NA,NA,NA
2018-01-16,90.099998,90.790001,88.010002,88.349998,36599700,82.992638,NA,NA,NA
2018-01-17,89.080002,90.279999,88.75,90.139999,25621200,84.674088,NA,NA,NA
2018-01-18,89.800003,90.669998,89.660004,90.099998,24159700,84.63652,NA,NA,NA
2018-01-19,90.139999,90.610001,89.660004,90,36875000,84.542603,NA,NA,NA
2018-01-22,90,91.620003,89.739998,91.610001,23601600,86.05497,NA,NA,NA
2018-01-23,91.900002,92.300003,91.540001,91.900002,23412800,86.32737,NA,NA,NA
2018-01-24,92.550003,93.43,91.580002,91.82,33277500,86.252228,NA,NA,NA
2018-01-25,92.470001,93.239998,91.93,92.330002,26383200,86.731308,NA,NA,NA
2018-01-26,93.120003,94.059998,92.580002,94.059998,29172200,88.356384,NA,NA,NA
2018-01-29,95.139999,95.449997,93.720001,93.919998,31569900,88.224869,NA,NA,NA
2018-01-30,93.300003,93.660004,92.099998,92.739998,38635100,87.116417,85.0002357679928,89.8046669333333,94.6090980986738
2018-01-31,93.75,95.400002,93.510002,95.010002,48756300,89.248795,85.3437152894531,90.2406671166667,95.1376189438802
2018-02-01,94.790001,96.07,93.580002,94.260002,47227900,88.544281,85.7593257416263,90.6586671666667,95.5580085917071
2018-02-02,93.639999,93.970001,91.5,91.779999,47867800,86.214645,86.2519465996666,90.92383375,95.5957209003334
2018-02-05,90.559998,93.239998,88,88,51031500,82.663857,86.4967516632641,91.01066695,95.5245822367359
2018-02-06,86.889999,91.480003,85.25,91.330002,67998600,85.791931,86.6800509718213,91.07066705,95.4612831281787
2018-02-07,90.489998,91.769997,89.199997,89.610001,41107600,84.176224,86.9447824228627,91.16683355,95.3888846771373
2018-02-08,89.709999,89.879997,84.760002,85.010002,55628700,79.855164,86.6526170057394,91.1040001333333,95.5553832609272
2018-02-09,86.300003,88.93,83.830002,88.18,63499100,82.832947,86.4743599555658,91.0621668833333,95.6499738111009
2018-02-12,88.739998,89.779999,87.93,89.129997,35720300,83.725342,86.4300034606359,91.0456669166667,95.6613303726974
2018-02-13,88.93,90,87.800003,89.830002,26407700,84.382881,86.4513317614361,91.0536669833333,95.6560022052306
2018-02-14,88.510002,90.989998,88.410004,90.809998,34960900,85.70417,86.4862593561906,91.07100035,95.6557413438093
2018-02-15,91.209999,92.720001,90.620003,92.660004,27823900,87.450172,86.5827996962638,91.1638338166667,95.7448679370695
2018-02-16,92.449997,93.5,91.800003,92,30596900,86.827263,86.6959524952326,91.28100045,95.8660484047674
2018-02-20,91.480003,93.059998,91.010002,92.720001,30911700,87.50679,86.742220955485,91.3446671,95.947113244515
2018-02-21,92.980003,93.360001,91.489998,91.489998,26922500,86.34594,86.7464565531726,91.35466695,95.9628773468273
2018-02-22,92.050003,92.730003,91.360001,91.730003,24392800,86.572449,86.7407720091992,91.3378337,95.9348953908008
2018-02-23,93.599998,94.07,92.360001,94.059998,26329200,88.771446,86.7202235711382,91.3876670166667,96.0551104621951
2018-02-26,94.400002,95.449997,94.25,95.419998,30199800,90.054977,86.6155500299283,91.4613336333333,96.3071172367384
2018-02-27,95.739998,95.839996,94.199997,94.199997,25869100,88.903587,86.5861658585976,91.4805002,96.3748345414024
