MSFT,SBUX,WBD,TMO,KO,IBKR,NOC,SLB,NTR,SBAC,PCG,Dates,date
80.738159,51.791492,23.110001,190.634827,38.843891,57.689938,281.694702,59.294315,46.270947,156.531204,44.490002,2018-01-02,2018-01-02
81.113914,52.76207,22.620001,194.13180500000001,38.758587,57.302353,282.996033,60.838089,46.78648,158.48996,43.77,2018-01-03,2018-01-03
81.827805,52.959778,22.129999,196.56192,39.304482,57.699615,284.749451,62.347744,46.947052,157.622635,43.52,2018-01-04,2018-01-04
82.842369,53.570889,22,199.930511,39.295967,58.465076,284.444855,62.774197,47.099174,158.714111,44.290001,2018-01-05,2018-01-05
82.92688,53.301296,22.370001,200.25647,39.236244,59.027054,284.481781,63.797688,45.501881,158.733566,45.23,2018-01-08,2018-01-08
82.870522,53.184452,21.65,203.595398,39.43243,60.664543,286.447479,63.882996,44.521523,159.376709,44.84,2018-01-09,2018-01-09
82.494781,53.759613,22.83,203.783081,39.295967,60.218842,283.881897,64.480019,43.862316,156.784576,44.549999,2018-01-10,2018-01-10
82.739021,53.921383,24.01,206.124298,39.270374,60.499821,285.672272,65.716736,45.003242,153.481125,43.880001,2018-01-11,2018-01-11
84.166832,54.280853,24.33,207.615936,39.364197,61.139305,290.840302,66.501404,45.155376,151.960892,43.82,2018-01-12,2018-01-12
82.99263,54.424641,24.530001,205.482178,39.688316,60.509502,288.431671,65.819084,44.834221,155.771133,44.02,2018-01-16,2018-01-16
84.674088,54.514519,24.700001,208.910065,39.935673,60.664543,293.01825,65.853195,44.631397,157.349792,44.200001,2018-01-17,2018-01-17
84.636528,54.900948,25.59,209.828705,39.98687,59.860325,290.055908,65.136765,44.952545,157.525177,44.5,2018-01-18,2018-01-18
84.542572,55.05373,25.709999,210.915359,40.225693,60.538578,291.966248,65.179398,44.791969,161.559525,44.389999,2018-01-19,2018-01-19
86.054955,55.188526,26.33,212.703354,40.413334,61.691608,290.831116,68.053719,44.851135,163.372101,43.939999,2018-01-22,2018-01-22
86.32737,55.440163,25.700001,211.942719,40.473045,63.077171,289.299194,67.559029,45.366661,163.956787,43.84,2018-01-23,2018-01-23
86.25222,54.66729,26.01,212.703354,40.797165,62.340771,289.28067,66.680511,45.299038,164.638916,43.68,2018-01-24,2018-01-24
86.731285,54.415657,25.73,215.232269,40.80571,61.119942,299.930542,65.955551,44.834221,165.944733,43.490002,2018-01-25,2018-01-25
88.356392,52.115017,26.040001,217.109146,41.394245,62.205128,309.676025,66.194382,45.637096,167.883957,43.540001,2018-01-26,2018-01-26
88.224884,51.243286,25.91,216.150925,40.686287,61.943531,312.241516,65.145271,45.375107,165.194412,42.98,2018-01-29,2018-01-29
87.116425,51.396057,24.969999,212.011871,40.438927,61.623779,313.275208,63.575935,44.825775,165.379547,41.98,2018-01-30,2018-01-30
89.24881,51.054573,25.07,221.386536,40.592457,62.001667,314.262604,62.757137,44.234177,170.047287,42.43,2018-01-31,2018-01-31
88.544266,50.326618,25.280001,219.657837,40.473045,64.724358,316.412842,64.403267,43.558075,170.271454,42.57,2018-02-01,2018-02-01
86.214638,50.119934,23.809999,215.04454,39.85891,63.358154,310.811188,62.850952,42.239666,168.790237,41.439999,2018-02-02,2018-02-02
82.663849,49.149338,22.780001,205.778564,38.289471,60.228523,297.503448,60.855152,40.81139,163.976257,40.299999,2018-02-05,2018-02-05
85.791924,49.976131,23.84,206.93428,38.101807,61.4203,302.237671,61.018341,39.602852,161.76416,39.860001,2018-02-06,2018-02-06
84.176239,49.208111,23.120001,205.027771,38.007988,62.738049,311.613953,59.910332,39.560596,162.261185,39.48,2018-02-07,2018-02-07
79.855156,48.584648,22.870001,196.314957,36.762657,59.821571,299.016968,57.891838,38.073166,155.771133,38.240002,2018-02-08,2018-02-08
82.832947,49.316536,22.610001,197.747345,36.788246,60.092869,307.027344,55.993599,37.616791,155.65419,38.57,2018-02-09,2018-02-09
83.725334,50.039387,23.09,202.024734,37.504742,61.70129,311.410889,57.410839,38.495735,155.556763,39.34,2018-02-12,2018-02-12
84.382889,50.301407,23.530001,201.027039,37.692383,61.885387,316.874176,56.620609,37.777378,157.301071,39.830002,2018-02-13,2018-02-13
85.704178,50.590565,23.83,205.778564,37.61562,64.559624,322.651428,56.577675,37.642155,158.411987,39.080002,2018-02-14,2018-02-14
87.450157,51.123665,24.040001,208.159225,38.195637,65.77079,329.37912,56.869713,37.68441,162.836136,39.959999,2018-02-15,2018-02-15
86.827263,51.033302,23.860001,208.050568,38.366226,65.276634,328.539276,56.929836,37.540741,164.804611,40.400002,2018-02-16,2018-02-16
87.506783,50.572483,24.309999,205.314255,37.521793,65.761101,323.33429,56.354355,38.056271,165.389282,40.009998,2018-02-20,2018-02-20
86.34594,50.689945,24.09,207.24057,36.967369,66.361816,323.758881,55.315052,39.788795,165.174866,39.790001,2018-02-21,2018-02-21
