DATE,value
1/1/2010,1.8
4/1/2010,2.9
7/1/2010,3.3
10/1/2010,2.8
1/1/2011,2
4/1/2011,1.7
7/1/2011,0.9
10/1/2011,1.5
1/1/2012,2.6
4/1/2012,2.4
7/1/2012,2.6
10/1/2012,1.6
1/1/2013,1.6
4/1/2013,1.3
7/1/2013,1.9
10/1/2013,2.5
1/1/2014,1.3
4/1/2014,2.5
7/1/2014,2.8
10/1/2014,2.6
1/1/2015,3.8
4/1/2015,3
7/1/2015,2.2
10/1/2015,1.9
1/1/2016,1.6
4/1/2016,1.4
7/1/2016,1.6
10/1/2016,2
1/1/2017,1.8
4/1/2017,2
7/1/2017,2.3
10/1/2017,2.8
1/1/2018,3.1
4/1/2018,3.3
7/1/2018,3.2
10/1/2018,2.3
1/1/2019,2.2
4/1/2019,2.1
7/1/2019,2.3
10/1/2019,2.6
1/1/2020,0.8
4/1/2020,-8.4
7/1/2020,-2
10/1/2020,-1.5
1/1/2021,1.2
4/1/2021,12.5
7/1/2021,5
10/1/2021,5.7
1/1/2022,3.7
4/1/2022,1.8
7/1/2022,1.9
10/1/2022,0.9
