XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,Dates,date
47.885319,104.505363,45.366272,59.254448,24.303036,77.403946,66.142014,52.548649,27.937969,66.625153,45.331646,2018-07-02,2018-07-02
47.299248,103.980217,45.472538,59.626663,24.084745,77.588867,65.930099,52.45768,28.101196,65.836197,45.461594,2018-07-03,2018-07-03
48.019829,104.495819,46.101273,59.563316,24.139318,78.393242,66.252586,52.912571,28.47061,66.767723,45.70414,2018-07-05,2018-07-05
48.778839,105.316971,46.242962,59.927605,24.257557,79.521194,66.482903,53.176407,28.590885,67.547226,46.059307,2018-07-06,2018-07-06
49.05748,106.577339,46.065853,60.822514,24.812378,80.103653,67.717506,53.649487,28.324566,68.060516,44.638641,2018-07-09,2018-07-09
49.037292,106.806488,46.614883,61.273945,24.721426,80.408768,67.929398,54.104382,28.462017,68.222115,45.06311,2018-07-10,2018-07-10
48.970993,106.558243,46.464344,59.975143,24.603184,79.770821,66.81459,53.194599,28.376108,67.955956,45.470257,2018-07-11,2018-07-11
49.739624,107.264793,46.402359,60.078087,24.648663,80.658379,67.597717,53.321976,28.444841,69.030098,45.504894,2018-07-12,2018-07-12
49.662758,107.503502,46.703442,60.394875,24.539513,80.80632,67.947815,53.294678,28.35034,68.954056,45.513569,2018-07-13,2018-07-13
49.518646,107.770844,46.482052,59.69796,24.976101,80.316292,67.671425,52.867081,28.195696,68.79245,45.470257,2018-07-16,2018-07-16
49.528255,107.875893,46.880539,59.460354,25.003384,80.760078,67.938591,53.55851,28.006695,69.305756,45.435608,2018-07-17,2018-07-17
49.38414,107.809059,46.499767,59.499954,25.403589,80.824814,68.684883,53.058132,27.903603,69.191711,45.20171,2018-07-18,2018-07-18
49.038261,107.560806,46.526329,59.515793,25.021574,80.371758,68.657227,53.249191,28.169926,68.94455,45.617519,2018-07-19,2018-07-19
48.87492,107.083389,46.8097,59.309887,25.067055,80.214622,68.583527,53.030842,27.92079,68.963554,45.296993,2018-07-20,2018-07-20
49.076691,106.968796,46.517471,59.048542,25.412678,80.381027,68.159714,52.739716,27.843466,69.315254,44.976479,2018-07-23,2018-07-23
49.422569,106.653709,46.606033,59.792973,25.485445,81.111435,68.445335,53.422047,27.766146,69.695488,45.132408,2018-07-24,2018-07-24
49.778053,107.436661,46.960251,60.291916,25.54002,82.146919,69.486435,53.840538,28.041065,70.570007,45.262344,2018-07-25,2018-07-25
47.900684,106.873322,47.208202,60.949242,25.530922,81.915794,70.020798,54.149864,28.135561,69.486359,45.747456,2018-07-26,2018-07-26
46.991791,106.59642,47.270191,60.687881,25.585491,81.324066,70.030029,53.949711,27.877831,68.298134,45.600193,2018-07-27,2018-07-27
46.251987,105.746651,47.217052,61.18684,25.603683,81.370316,69.339012,53.84964,27.852058,67.233528,45.322987,2018-07-30,2018-07-30
46.559437,106.243118,47.438442,61.07597,25.42178,82.220901,70.868431,54.340919,28.393295,67.414116,45.730137,2018-07-31,2018-07-31
46.367279,105.717987,47.039944,60.228565,25.42178,82.239395,69.910225,53.785954,28.582291,68.022484,45.435608,2018-08-01,2018-08-01
46.674728,106.443649,47.518139,59.895935,25.430866,82.544495,69.818115,53.431137,28.444841,68.878006,45.660828,2018-08-02,2018-08-02
46.991791,106.806488,48.076035,59.587078,25.576399,83.034492,69.882591,53.940617,28.814251,69.12516,46.171928,2018-08-03,2018-08-03
47.462574,107.522598,48.120308,59.808815,25.712831,83.182434,69.983948,53.922424,28.754118,69.495865,46.206573,2018-08-06,2018-08-06
47.520218,108.019104,47.828083,60.252319,25.831068,83.191696,70.481483,54.104382,28.693981,69.762032,46.137268,2018-08-07,2018-08-07
47.481792,108.13369,47.465,59.81673,25.894739,83.321106,70.168205,53.876934,28.513567,69.952141,45.894718,2018-08-08,2018-08-08
47.741207,108.534706,47.323322,59.262367,25.740116,83.228661,69.781265,54.16806,28.565111,69.980675,46.102631,2018-08-09,2018-08-09
47.337669,107.627632,47.146214,59.626663,25.43997,82.86808,69.163971,53.385651,28.290199,69.419807,45.903393,2018-08-10,2018-08-10
47.270416,107.083389,47.146214,58.866386,25.194391,82.895828,68.832275,52.848888,28.281603,69.324768,45.964024,2018-08-13,2018-08-13
47.606686,108.124138,47.473862,59.008938,25.430866,83.284142,69.311394,53.294678,28.393295,69.752525,46.059307,2018-08-14,2018-08-14
46.943756,106.806488,47.668686,56.949844,25.230766,83.145462,68.979721,52.448582,28.642429,69.12516,46.483776,2018-08-15,2018-08-15
46.924541,107.331635,48.350548,57.36166,25.567299,83.959068,69.854958,52.767014,28.865799,69.429329,46.986221,2018-08-16,2018-08-16
46.70356,107.427116,48.722477,57.504223,25.621876,84.217918,70.278786,53.158207,29.140705,69.53389,47.228775,2018-08-17,2018-08-17
46.780418,108.190964,48.695915,57.892269,25.703732,84.495331,70.748627,53.531219,29.175072,69.429329,47.064175,2018-08-20,2018-08-20
47.068649,109.050323,48.350548,58.185303,25.803787,84.495331,71.273796,53.740467,28.908751,69.543381,46.726334,2018-08-21,2018-08-21
47.011005,109.164894,48.049461,58.882236,25.712831,84.578506,70.582809,53.467541,28.728342,69.752525,46.379822,2018-08-22,2018-08-22
46.818848,109.059868,47.934345,58.605042,25.594587,84.550774,70.380104,53.103622,28.659613,69.90461,46.345177,2018-08-23,2018-08-23
47.500999,109.699593,47.872353,59.0327,25.685543,84.957596,70.684143,53.795059,28.857203,70.608017,46.544415,2018-08-24,2018-08-24
47.962177,110.406174,47.898922,59.468273,26.03117,85.262695,71.57785,54.531975,28.814251,71.254425,46.258549,2018-08-27,2018-08-27
47.750813,110.625771,47.739525,59.214844,26.00388,85.308929,71.430428,54.32272,29.166483,71.377983,46.163261,2018-08-28,2018-08-28
48.019829,111.86705,47.792652,59.579163,25.994787,85.863647,71.48571,54.732121,29.123529,72.024368,46.501106,2018-08-29,2018-08-29
47.721985,111.227303,47.642113,59.412827,25.794689,85.798927,70.988197,54.086182,28.968891,71.805748,46.518433,2018-08-30,2018-08-30
47.251205,111.666534,47.624405,58.953506,25.767401,85.780434,71.034256,53.922424,29.080568,71.86277,46.319190999999996,2018-08-31,2018-08-31
46.665134,111.876579,47.562412,58.826775,25.894739,85.096275,70.978981,53.549412,28.822844,71.587097,46.527088,2018-09-04,2018-09-04
46.059834,110.673531,48.111454,58.747597,25.912931,85.438362,71.48571,53.904224,29.003252,70.693581,47.176788,2018-09-05,2018-09-05
45.713963,110.367966,48.244286,57.662605,25.794689,85.438362,71.706833,54.013401,29.097752,70.180283,47.445343,2018-09-06,2018-09-06
45.810028,110.358421,48.146877,57.654686,25.767401,85.567795,71.48571,53.658585,28.728342,69.942627,46.864937,2018-09-07,2018-09-07
45.906109,110.768997,48.315121,57.630928,25.740116,85.345917,71.854225,53.722267,28.882982,70.161263,47.098839,2018-09-10,2018-09-10
46.367279,111.657005,48.13802,58.177395,25.767401,85.271927,71.835808,53.83144,28.891567,70.760139,46.977551,2018-09-11,2018-09-11
46.23278,111.86705,48.695915,58.478317,25.530922,85.69722,72.056923,53.858742,28.917345,70.465431,46.934235,2018-09-12,2018-09-12
46.559437,112.058022,48.625069,58.502094,25.494535,86.76046,72.489944,54.067978,29.097752,71.29245,47.289406,2018-09-13,2018-09-13
46.472965,111.637886,48.492226,58.810959,25.676449,86.473862,72.849266,54.049789,28.848619,71.235405,47.038189,2018-09-14,2018-09-14
46.0214,110.253403,48.669346,58.905987,25.567299,86.159508,72.876923,54.240849,29.011839,70.341881,47.194115,2018-09-17,2018-09-17
46.348072,111.657005,48.465668,59.294041,25.694637,86.658791,73.54026,54.295433,28.840027,70.788643,47.107487,2018-09-18,2018-09-18
46.472965,111.704735,48.377117,59.476177,26.131216,86.538567,73.475769,54.886791,28.565111,70.608017,46.085304,2018-09-19,2018-09-19
46.982178,112.468605,48.988136,59.492043,26.358604,87.379929,73.586342,55.478138,28.779884,71.444534,46.180588,2018-09-20,2018-09-20
46.772171,111.97155,49.066612,59.885139,26.256289,87.497795,74.062187,55.358395,28.779884,71.162209,46.377251,2018-09-21,2018-09-21
46.772171,111.243729,48.317505,60.762295,25.963938,87.674164,72.793861,54.581398,28.215576,71.515114,45.966442,2018-09-24,2018-09-24
46.791431,111.712967,48.032131,61.153042,25.863443,87.404984,72.571686,54.298019,28.189531,71.429253,45.337128,2018-09-25,2018-09-25
46.974483,111.97155,48.085644,60.56295,25.552834,87.599892,72.525383,53.758705,27.876987,71.162209,44.891361,2018-09-26,2018-09-26
47.379101,112.35463,48.023209,60.56295,25.46147,88.04541,72.627235,53.292511,27.963804,71.581879,45.35461,2018-09-27,2018-09-27
47.205688,112.25885,48.094559,60.3955,25.196533,88.314575,72.58094,52.954296,28.311075,71.84893,46.018883,2018-09-28,2018-09-28
47.013008,111.914093,48.058876,61.232769,25.297026,88.750816,73.219727,53.484467,28.094032,72.192299,45.861553,2018-10-01,2018-10-01
46.974483,110.400955,48.335346,61.296577,25.297026,88.648727,73.386375,53.712994,28.007212,72.201843,46.48214,2018-10-02,2018-10-02
47.186424,110.027458,47.818096,61.790943,25.534561,88.481644,73.691864,53.329067,27.685989,72.421219,45.922745,2018-10-03,2018-10-03
46.512047,108.303658,47.702171,61.535778,25.708138,87.618462,73.451164,53.082264,27.555763,71.114532,46.16748,2018-10-04,2018-10-04
46.068901,107.489609,47.657578,61.527813,25.58024,87.51638,73.071617,52.689194,27.564444,70.217957,46.875458,2018-10-05,2018-10-05
45.914757,107.767349,48.317505,61.479965,25.753813,87.47924,73.25676,52.661785,27.920399,69.426315,47.268784,2018-10-08,2018-10-08
45.885857,107.451317,48.210491,62.030186,25.653326,87.627747,72.127319,50.915821,28.015896,69.674324,47.461075,2018-10-09,2018-10-09
