XLC.Open,XLC.High,XLC.Low,XLC.Close,XLC.Volume,XLC.Adjusted,XLY.Open,XLY.High,XLY.Low,XLY.Close,XLY.Volume,XLY.Adjusted,XLP.Open,XLP.High,XLP.Low,XLP.Close,XLP.Volume,XLP.Adjusted,XLE.Open,XLE.High,XLE.Low,XLE.Close,XLE.Volume,XLE.Adjusted,XLF.Open,XLF.High,XLF.Low,XLF.Close,XLF.Volume,XLF.Adjusted,XLV.Open,XLV.High,XLV.Low,XLV.Close,XLV.Volume,XLV.Adjusted,XLI.Open,XLI.High,XLI.Low,XLI.Close,XLI.Volume,XLI.Adjusted,XLB.Open,XLB.High,XLB.Low,XLB.Close,XLB.Volume,XLB.Adjusted,XLRE.Open,XLRE.High,XLRE.Low,XLRE.Close,XLRE.Volume,XLRE.Adjusted,XLK.Open,XLK.High,XLK.Low,XLK.Close,XLK.Volume,XLK.Adjusted,XLU.Open,XLU.High,XLU.Low,XLU.Close,XLU.Volume,XLU.Adjusted
49.110001,49.84,48.939999,49.84,321300,47.885315,108.510002,109.480003,108.220001,109.449997,6898700,104.505371,51.299999,51.529999,50.900002,51.23,13255500,45.366276,75.410004,75.43,74.410004,74.82,15296600,59.254444,26.370001,26.73,26.35,26.719999,66202800,24.303034,83,83.769997,82.720001,83.720001,9364700,77.403969,71.07,71.800003,70.889999,71.790001,14098700,66.142021,57.650002,57.889999,57.349998,57.759998,7682900,52.548656,32.669998,32.75,32.154999,32.52,6280200,27.937965,68.870003,70.110001,68.769997,70.089996,12545600,66.625145,51.990002,52.360001,51.75,52.330002,15702800,45.33165
50,50,49.188999,49.23,97500,47.29924,109.959999,109.959999,108.720001,108.900002,2909300,103.980202,51.43,51.619999,51.27,51.349998,7736300,45.472542,75.599998,76.459999,75.110001,75.290001,9308200,59.626675,26.790001,26.870001,26.42,26.48,30717800,24.084745,84.019997,84.309998,83.699997,83.919998,3023100,77.588844,72.07,72.400002,71.370003,71.559998,7083300,65.930115,58.130001,58.490002,57.529999,57.66,3389400,52.457684,32.560001,32.98,32.470001,32.709999,2916200,28.101192,70.300003,70.349998,69.209999,69.260002,6361400,65.836182,52.349998,52.790001,52.110001,52.48,10605600,45.461586
49.59,50,49.330002,49.98,324900,48.019825,109.529999,109.629997,108.559998,109.440002,3788300,104.495811,51.57,52.09,51.470001,52.060001,11699800,46.101269,75.75,75.989998,74.989998,75.209999,9969500,59.563301,26.620001,26.68,26.450001,26.540001,40668500,24.139322,84.309998,84.879997,84.110001,84.790001,7458600,78.393227,71.809998,71.959999,71.220001,71.910004,8465700,66.252602,58.060001,58.209999,57.610001,58.16,5559200,52.912571,32.77,33.16,32.705002,33.139999,2699600,28.470613,69.690002,70.279999,69.489998,70.239998,13660000,66.767746,52.509998,52.799999,52.290001,52.759998,11031000,45.704144
50.139999,50.816002,49.93,50.77,199800,48.778843,109.480003,110.459999,109.220001,110.300003,5185000,105.316963,52.119999,52.43,52,52.220001,12335100,46.242954,74.980003,75.910004,74.629997,75.669998,9310300,59.927608,26.469999,26.780001,26.370001,26.67,41285000,24.257559,85.199997,86.160004,85.099998,86.010002,9822500,79.521202,71.849998,72.379997,71.43,72.160004,9757500,66.48291,58.060001,58.619999,57.790001,58.450001,4530900,53.176407,33.23,33.349998,33.165001,33.279999,2440800,28.590883,70.279999,71.169998,70.110001,71.059998,12801900,67.547203,52.869999,53.290001,52.779999,53.169998,12396700,46.059315
51.200001,51.200001,50.650002,51.060001,118100,49.057472,110.989998,111.639999,110.75,111.620003,3730700,106.577332,52.259998,52.34,51.959999,52.02,15117900,46.065845,76.129997,76.910004,76.089996,76.800003,11059200,60.82254,26.809999,27.309999,26.780001,27.280001,73447400,24.81238,86.349998,86.809998,86.32,86.639999,7874400,80.103661,72.480003,73.519997,72.410004,73.5,13034000,67.717484,58.73,59,58.68,58.970001,4537800,53.649487,33.330002,33.330002,32.810001,32.970001,2344600,28.324572,71.440002,71.620003,71.07,71.599998,8727600,68.060524,53.16,53.169998,51.349998,51.529999,27936800,44.638638
51.209999,51.209999,50.869999,51.039001,1153200,49.037292,111.839996,111.970001,111.339996,111.860001,3179600,106.806488,52.150002,52.669998,52.040001,52.639999,15280300,46.614895,77.269997,78,77.18,77.370003,11003600,61.273937,27.299999,27.389999,27.1,27.18,51260600,24.721422,86.809998,87.010002,86.580002,86.970001,6122900,80.408752,73.529999,73.900002,73.339996,73.730003,9880400,67.929398,58.950001,59.5,58.950001,59.470001,5973300,54.104382,32.990002,33.169998,32.799999,33.130001,3077300,28.462019,71.610001,71.970001,71.610001,71.769997,11493100,68.222115,51.040001,52.299999,50.889999,52.02,27109100,45.063107
50.700001,51.23,50.650002,50.970001,227500,48.970993,111.160004,111.839996,111.07,111.599998,4432200,106.558235,52.580002,52.630001,52.290001,52.470001,11484600,46.464352,76.650002,77.120003,75.230003,75.730003,19362800,59.975128,27.030001,27.190001,26.99,27.049999,46023700,24.603186,86.5,86.589996,86.220001,86.279999,6434500,79.770813,73.089996,73.099998,72.360001,72.519997,14208000,66.814598,58.849998,59.02,58.209999,58.470001,11345600,53.194607,33.099998,33.189999,32.974998,33.029999,2347300,28.37611,71.260002,71.769997,71.150002,71.489998,12974900,67.955948,52,52.580002,51.959999,52.490002,21772300,45.470245
51.299999,51.77,51.139999,51.77,361400,49.739628,112.019997,112.43,111.529999,112.339996,2914200,107.264801,52.619999,52.709999,52.23,52.400002,11002300,46.402359,75.93,76.349998,75.32,75.860001,12568000,60.078072,27.219999,27.24,26.940001,27.1,64876800,24.648666,86.709999,87.300003,86.660004,87.239998,4461600,80.658401,73.059998,73.449997,72.610001,73.370003,12705600,67.597725,58.830002,58.880001,58.369999,58.610001,6619000,53.321976,33.110001,33.169998,32.939999,33.110001,1660700,28.444839,71.800003,72.660004,71.720001,72.620003,11853300,69.030106,52.490002,52.639999,52.25,52.529999,17136700,45.504898
51.779999,51.799999,51.449001,51.689999,80100,49.662762,112.410004,112.769997,112.230003,112.589996,5522000,107.503502,52.43,52.799999,52.41,52.740002,14053500,46.703445,75.93,76.720001,75.730003,76.260002,11423100,60.394878,26.99,27.07,26.700001,26.98,64146900,24.539516,87.050003,87.589996,87,87.400002,6048700,80.80632,73.339996,73.879997,73.300003,73.75,18494200,67.947807,58.509998,58.790001,58.419998,58.580002,3462000,53.294678,33.130001,33.255001,32.98,33,2142700,28.350338,72.629997,72.720001,72.300003,72.540001,9258400,68.954056,52.599998,52.720001,52.189999,52.540001,10959300,45.513569
51.779999,51.779999,51.450001,51.540001,200700,49.518646,112.870003,113.050003,112.440002,112.870003,3096300,107.770859,52.700001,52.73,52.34,52.490002,10347400,46.482052,75.510002,75.879997,74.739998,75.379997,11390600,59.697952,27.059999,27.48,27.040001,27.459999,55812000,24.976097,87.470001,87.470001,86.75,86.870003,5388500,80.316307,73.889999,74.059998,73.260002,73.449997,9576100,67.671402,58.610001,58.73,57.98,58.110001,4491600,52.867077,32.860001,32.959999,32.594002,32.82,2759100,28.1957,72.559998,72.709999,72.230003,72.370003,6666000,68.792458,52.5,52.630001,52.23,52.490002,10493200,45.470245
